artist,born-died,period,school,url,base,nationality
"BEINASCHI, Giovan Battista",(1636-1688),Baroque,painter,https://www.wga.hu/html/b/beinasch/index.html,Naples,Italian
"BELBELLO DA PAVIA, Luchino",(active c. 1430-1470),Early Renaissance,illuminator,https://www.wga.hu/html/b/belbello/index.html,Lombardy,Italian
"BELIN DE FONTENAY, Jean-Baptiste",(1653-1715),Baroque,painter,https://www.wga.hu/html/b/belin/index.html,Paris,French
"BELLA, Stefano della",(1610-1664),Baroque,graphic,https://www.wga.hu/html/b/bella/index.html,Florence,Italian
"BELLANGE, Jacques",(1594-1638),Baroque,graphic,https://www.wga.hu/html/b/bellange/index.html,France,French
"BELLANGÉ, Hippolyte",(1800-1866),Neoclassicism,painter,https://www.wga.hu/html/b/bellang/index.html,Paris,French
"BELLANO, Bartolomeo",(1437-1496),Early Renaissance,sculptor,https://www.wga.hu/html/b/bellano/index.html,Padua,Italian
"BELLE, Alexis-Simon",(1674-1734),Baroque,painter,https://www.wga.hu/html/b/belle/alexis/index.html,Paris,French
"BELLE, Clément-Louis-Marie-Anne",(1722-1806),Rococo,painter,https://www.wga.hu/html/b/belle/clement/index.html,Paris,French
"BELLECHOSE, Henri",(active 1415- 1440),Northern Renaissance,painter,https://www.wga.hu/html/b/bellecho/index.html,Burgundy,French
"BELLEGAMBE, Jean",(c. 1470 - c. 1535),Northern Renaissance,painter,https://www.wga.hu/html/b/bellegam/index.html,Amiens,Flemish
"BELLEVOIS, Jacob Adriaensz.",(c. 1620-1676),Baroque,painter,https://www.wga.hu/html/b/bellevoi/index.html,Rotterdam,Dutch
"BELLI, Valerio",(c. 1468-1546),High Renaissance,goldsmith,https://www.wga.hu/html/b/belli/index.html,Italy,Italian
"BELLINI, Gentile",(c. 1429-1507),Early Renaissance,painter,https://www.wga.hu/html/b/bellini/gentile/index.html,Venice,Italian
"BELLINI, Giovanni",(c. 1426-1516),Early Renaissance,painter,https://www.wga.hu/html/b/bellini/giovanni/index.html,Venice,Italian
"BELLINI, Jacopo",(c. 1400-1470),Early Renaissance,painter,https://www.wga.hu/html/b/bellini/jacopo/index.html,Venice,Italian
