artist,born-died,period,school,url,base,nationality
"CALAME, Alexandre",(1810-1864),Romanticism,painter,https://www.wga.hu/html/c/calame/index.html,Switzerland,Swiss
"CALCAR, Jan Steven van",(c. 1499-c. 1546),High Renaissance,painter,https://www.wga.hu/html/c/calcar/index.html,Italy,Flemish
"CALENDARIO, Filippo",(c. 1315-1355),Medieval,sculptor,https://www.wga.hu/html/c/calendar/index.html,Venice,Italian
"CALIARI, Benedetto",(1538-1598),Mannerism,painter,https://www.wga.hu/html/c/caliari/benedett/index.html,Venice,Italian
"CALIARI, Carlo",( c. 1567-c. 1592),Mannerism,painter,https://www.wga.hu/html/c/caliari/carlo/index.html,Venice,Italian
"CALLET, Antoine-François",(1741-1823),Rococo,painter,https://www.wga.hu/html/c/callet/index.html,France,French
"CALLOIGNE, Jan Robert",(1775-1830),Neoclassicism,sculptor,https://www.wga.hu/html/c/calloign/index.html,France,French
"CALLOT, Jacques",(1592-1635),Baroque,graphic,https://www.wga.hu/html/c/callot/index.html,France,French
"CALRAET, Abraham van",(1642-1722),Baroque,painter,https://www.wga.hu/html/c/calraet/index.html,Dordrecht,Dutch
"CALS, Adolphe-Félix",(1810-1880),Impressionism,painter,https://www.wga.hu/html/c/cals/index.html,Honfleur,French
"CALSTER, Maarten van",(c. 1574-1628),Baroque,sculptor,https://www.wga.hu/html/c/calster/index.html,Mechelen,Flemish
"CALVAERT, Denys",(1540-1619),Mannerism,painter,https://www.wga.hu/html/c/calvaert/index.html,Bologna,Flemish
"CALVI, Jacopo Alessandro",(1740-1815),Rococo,painter,https://www.wga.hu/html/c/calvi/index.html,Bologna,Italian
"CALZA, Antonio",(1653-1725),Baroque,painter,https://www.wga.hu/html/c/calza/index.html,Italy,Italian
CAMAINO DI CRESCENTINO,(c. 1260-c. 1337),Medieval,architect,https://www.wga.hu/html/c/camaino/index.html,Siena,Italian
"CAMASSEI, Andrea",(1602-1649),Baroque,painter,https://www.wga.hu/html/c/camassei/index.html,Rome,Italian
"CAMBIASO, Luca",(1527-1585),Mannerism,painter,https://www.wga.hu/html/c/cambiaso/index.html,Genoa,Italian
"CAMERON, Charles",(1745-1812),Neoclassicism,architect,https://www.wga.hu/html/c/cameron/index.html,St.Petersburg,English
"CAMETTI, Bernardino",(1669-1736),Baroque,sculptor,https://www.wga.hu/html/c/cametti/index.html,Rome,Italian
"CAMILLIANI, Camillo",(active c. 1574-c. 1603),High Renaissance,architect,https://www.wga.hu/html/c/camillia/son/index.html,Sicily,Italian
"CAMILLIANI, Francesco",(d. 1586),High Renaissance,architect,https://www.wga.hu/html/c/camillia/father/index.html,Italy,Italian
"CAMILO, Francisco",(1615-1673),Baroque,painter,https://www.wga.hu/html/c/camilo/index.html,Madrid,Spanish
"CAMMARANO, Michele",(1835-1920),Realism,painter,https://www.wga.hu/html/c/cammaran/index.html,Naples,Italian
"CAMPAGNA, Girolamo",(c. 1549-1625),Baroque,sculptor,https://www.wga.hu/html/c/campagna/index.html,Venice,Italian
"CAMPAGNOLA, Domenico",(1500-1564),High Renaissance,graphic,https://www.wga.hu/html/c/campagno/index.html,Padua,Italian
"CAMPAÑA, Pedro de",(1503-1580),High Renaissance,painter,https://www.wga.hu/html/c/campana/index.html,Spain,Spanish
"CAMPEN, Jacob van",(1595-1657),Baroque,architect,https://www.wga.hu/html/c/campen/index.html,Netherlands,Dutch
"CAMPENY Y ESTANY, Damián",(1771-1855),Neoclassicism,sculptor,https://www.wga.hu/html/c/campeny/index.html,Spain,Spanish
"CAMPHUYSEN, Govert Dircksz.",(c. 1623-1672),Baroque,painter,https://www.wga.hu/html/c/camphuys/index.html,Sweden,Dutch
"CAMPI, Antonio",(1523-1587),Mannerism,painter,https://www.wga.hu/html/c/campi/antonio/index.html,Cremona,Italian
"CAMPI, Giulio",(c. 1508-1572),High Renaissance,painter,https://www.wga.hu/html/c/campi/giulio/index.html,Cremona,Italian
"CAMPI, Vincenzo",(c. 1530-1591),Mannerism,painter,https://www.wga.hu/html/c/campi/vincenzo/index.html,Cremona,Italian
"CAMPROBÍN, Pedro de",(1605-1674),Baroque,painter,https://www.wga.hu/html/c/camprobi/index.html,Seville,Spanish
"CAMUCCINI, Vincenzo",(1771-1844),Neoclassicism,painter,https://www.wga.hu/html/c/camuccin/index.html,Rome,Italian
"CANAL, Bernardo",(1664-1744),Baroque,painter,https://www.wga.hu/html/c/canal/index.html,Venice,Italian
"CANAL, Giambattista",(1745-1825),Neoclassicism,painter,https://www.wga.hu/html/c/canalgia/index.html,Venice,Italian
CANALETTO,(1697-1768),Baroque,painter,https://www.wga.hu/html/c/canalett/index.html,Venice,Italian
"CANAVESIO, Giovanni",(c. 1451-after 1500),Early Renaissance,painter,https://www.wga.hu/html/c/canavesi/index.html,Liguria,Italian
"CANDID, Peter",(c. 1548-1628),Mannerism,painter,https://www.wga.hu/html/c/candid/index.html,Flanders,Flemish
"CANE, Ottaviano",(before 1495-1575),High Renaissance,painter,https://www.wga.hu/html/c/cane/index.html,TrinoVercellese,Italian
"CANELLA, Giuseppe",(1788-1847),Romanticism,painter,https://www.wga.hu/html/c/canella/index.html,Italy,Italian
"CANEVALE, Isidore",(1730-1786),Neoclassicism,architect,https://www.wga.hu/html/c/canevale/index.html,Austria-Hungary,French
"CANO, Alonso",(1601-1667),Baroque,painter,https://www.wga.hu/html/c/cano/index.html,Spain,Spanish
"CANOVA, Antonio",(1757-1822),Neoclassicism,sculptor,https://www.wga.hu/html/c/canova/index.html,Italy,Italian
"CANTARINI, Simone",(1612-1648),Baroque,painter,https://www.wga.hu/html/c/cantarin/index.html,Pesaro,Italian
"CANTOFOLI, Ginevra",(1618-1672),Baroque,painter,https://www.wga.hu/html/c/cantofol/index.html,Bologna,Italian
"CANUTI, Domenico Maria",(1625-1684),Baroque,painter,https://www.wga.hu/html/c/canuti/index.html,Bologna,Italian
"CAPANNA, Puccio",(active 1338-1348),Medieval,painter,https://www.wga.hu/html/c/capanna/index.html,Assisi,Italian
"CAPELLI, Camillo di",(active 1514-1568),Mannerism,painter,https://www.wga.hu/html/c/capelli/index.html,Mantua,Italian
"CAPET, Marie-Gabrielle",(1761-1818),Neoclassicism,painter,https://www.wga.hu/html/c/capet/index.html,Paris,French
"CAPORALI, Bartolomeo",(c. 1420-1505),Early Renaissance,painter,https://www.wga.hu/html/c/caporali/index.html,Perugia,Italian
"CAPPELLA, Francesco",(1711-1774),Baroque,painter,https://www.wga.hu/html/c/cappella/index.html,Bergamo,Italian
"CAPPELLE, Jan van de",(1626-1679),Baroque,painter,https://www.wga.hu/html/c/cappelle/index.html,Amsterdam,Dutch
"CAPPONI, Luigi di Pietro",(active 1485-1500),Early Renaissance,sculptor,https://www.wga.hu/html/c/capponi/index.html,Rome,Italian
"CAPRIOLO, Domenico",(1494-1528),High Renaissance,painter,https://www.wga.hu/html/c/capriolo/index.html,Venice,Italian
"CARACCIOLO, Giovanni Battista",(1578-1635),Baroque,painter,https://www.wga.hu/html/c/caraccio/index.html,Naples,Italian
"CARADOSSI, Vittorio",(1861-1918),Realism,sculptor,https://www.wga.hu/html/c/carados/index.html,Florence,Italian
CARADOSSO,(c. 1452-527),Early Renaissance,goldsmith,https://www.wga.hu/html/c/caradoss/index.html,Italy,Italian
"CARAGLIO, Giovanni Jacopo",(1500/05-1565),High Renaissance,graphic,https://www.wga.hu/html/c/caraglio/index.html,Italy,Italian
"CARATTI, Francesco",(c. 1615-1677),Baroque,architect,https://www.wga.hu/html/c/caratti/index.html,Prague,Italian
CARAVAGGIO,(1573-1610),Baroque,painter,https://www.wga.hu/html/c/caravagg/index.html,Rome,Italian
"CARBAJAL, Luis de",(1531-c. 1621),Mannerism,painter,https://www.wga.hu/html/c/carbajal/index.html,Spain,Spanish
"CARCANI, Filippo",(active 1657-1686),Baroque,architect,https://www.wga.hu/html/c/carcani/index.html,Rome,Italian
"CARDUCHO, Bartolomé",(1554-1608),Mannerism,painter,https://www.wga.hu/html/c/carducho/bartolom/index.html,Spain,Spanish
"CARDUCHO, Vicente",(1576-1638),Baroque,painter,https://www.wga.hu/html/c/carducho/vicente/index.html,Spain,Spanish
"CARIANI, Giovanni",(c. 1485-c. 1547),High Renaissance,painter,https://www.wga.hu/html/c/cariani/index.html,Venice,Italian
"CARLEVARIS, Luca",(1663-1730),Baroque,painter,https://www.wga.hu/html/c/carlevar/index.html,Venice,Italian
"CARLEVARIS, Marianna",(1703-c. 1750),Rococo,painter,https://www.wga.hu/html/c/carlevax/index.html,Venice,Italian
"CARLIN, Martin",(c. 1730-1785),Rococo,cabinet-maker,https://www.wga.hu/html/c/carlin/index.html,Paris,French
"CARLONE, Carlo Antonio",(1635-1708),Baroque,architect,https://www.wga.hu/html/c/carlone2/carlo1/index.html,UpperAustria,Italian
"CARLONE, Carlo Innocenzo",(1686-1775),Baroque,painter,https://www.wga.hu/html/c/carlone2/carlo/index.html,Italy,Italian
"CARLONE, Diego Francesco",(1674-1750),Baroque,sculptor,https://www.wga.hu/html/c/carlone2/diego/index.html,Austria,Italian
"CARLONE, Giovanni Andrea",(1639-1697),Baroque,painter,https://www.wga.hu/html/c/carlone/giovandr/index.html,Genoa,Italian
"CARLONE, Giovanni Battista",(1603-1684),Baroque,painter,https://www.wga.hu/html/c/carlone/giovbatt/index.html,Genoa,Italian
"CARLONE, Giovanni Battista II",(c. 1641-c. 1720),Baroque,sculptor,https://www.wga.hu/html/c/carlone2/giovanni/index.html,Passau,Italian
"CARMONTELLE, Louis Carrogis de",(1717-1806),Rococo,painter,https://www.wga.hu/html/c/carmonte/index.html,Paris,French
"CARNERI, Matteo",(1592-1673),Baroque,sculptor,https://www.wga.hu/html/c/carneri/index.html,Italy,Italian
"CARNEVALE, Fra",(c. 1425-1484),Early Renaissance,painter,https://www.wga.hu/html/c/carneval/index.html,Urbino,Italian
"CARNICERO Y MANCIO, Antonio",(1748-1814),Rococo,painter,https://www.wga.hu/html/c/carnicer/index.html,Madrid,Spanish
"CARNOVALI, Giovanni",(1804-1873),Neoclassicism,painter,https://www.wga.hu/html/c/carnoval/index.html,Italy,Italian
"CARO, Baldassare de",(1689-1750),Baroque,painter,https://www.wga.hu/html/c/caro/index.html,Naples,Italian
CAROLUS-DURAN,(1837-1917),Realism,painter,https://www.wga.hu/html/c/carolus/index.html,Paris,French
"CARON, Antoine",(1521-1599),Mannerism,painter,https://www.wga.hu/html/c/caron/index.html,France,French
"CAROSELLI, Angelo",(1585-1652),Baroque,painter,https://www.wga.hu/html/c/carosell/index.html,Rome,Italian
"CAROTO, Giovanni Francesco",(1480-c. 1555),High Renaissance,painter,https://www.wga.hu/html/c/caroto/index.html,Verona,Italian
"CARPACCIO, Vittore",(1472-1526),High Renaissance,painter,https://www.wga.hu/html/c/carpacci/index.html,Venice,Italian
"CARPEAUX, Jean-Baptiste",(1827-1875),Romanticism,sculptor,https://www.wga.hu/html/c/carpeaux/index.html,France,French
"CARPI, Girolamo da",(1501-1556),High Renaissance,painter,https://www.wga.hu/html/c/carpi/index.html,Ferrara,Italian
"CARPIONI, Giulio",(1613-1678),Baroque,painter,https://www.wga.hu/html/c/carpioni/index.html,Venice,Italian
"CARR, John",(1723-1807),Neoclassicism,architect,https://www.wga.hu/html/c/carr/index.html,England,English
"CARRACCI, Agostino",(1557-1602),Baroque,painter,https://www.wga.hu/html/c/carracci/agostino/index.html,Bologna,Italian
"CARRACCI, Annibale",(1560-1609),Baroque,painter,https://www.wga.hu/html/c/carracci/annibale/index.html,Bologna,Italian
"CARRACCI, Antonio",(c. 1583-1618),Baroque,painter,https://www.wga.hu/html/c/carracci/antonio/index.html,Bologna,Italian
"CARRACCI, Lodovico",(1555-1619),Baroque,painter,https://www.wga.hu/html/c/carracci/lodovico/index.html,Bologna,Italian
"CARRADORI, Francesco",(1747-1824),Neoclassicism,sculptor,https://www.wga.hu/html/c/carrador/index.html,Italy,Italian
"CARRARI, Baldassare",(c. 1460-1516),Early Renaissance,painter,https://www.wga.hu/html/c/carrari/index.html,Forli,Italian
"CARREÑO DE MIRANDA, Juan",(1614-1685),Baroque,painter,https://www.wga.hu/html/c/carreno/index.html,Madrid,Spanish
"CARRIER-BELLEUSE, Albert-Ernest",(1824-1887),Romanticism,sculptor,https://www.wga.hu/html/c/carrier/index.html,France,French
"CARRIERA, Rosalba",(1675-1757),Baroque,painter,https://www.wga.hu/html/c/carriera/index.html,Venice,Italian
"CARRIÈRE, Eugène",(1849-1906),Realism,painter,https://www.wga.hu/html/c/carriere/index.html,Paris,French
"CARS, Laurent",(1699-1771),Rococo,graphic,https://www.wga.hu/html/c/cars/index.html,Paris,French
"CARSTENS, Asmus Jakob",(1754-1798),Baroque,painter,https://www.wga.hu/html/c/carstens/index.html,Denmark,Danish
"CARTELLIER, Pierre",(1757-1831),Neoclassicism,sculptor,https://www.wga.hu/html/c/cartelli/index.html,France,French
"CARUS, Karl Gustav",(1789-1869),Romanticism,painter,https://www.wga.hu/html/c/carus/index.html,Germany,German
"CASA, Nicolò della",(active 1543-1548),High Renaissance,graphic,https://www.wga.hu/html/c/casa/index.html,Italy,French
"CASALI, Andrea",(1705-1764),Rococo,painter,https://www.wga.hu/html/c/casali/index.html,London,Italian
"CASAS I CARBÓ, Ramón",(1866-1932),Impressionism,painter,https://www.wga.hu/html/c/casas/index.html,Spain,Spanish
"CASAS Y NÓVOA, Fernando de",(1691-1749),Baroque,architect,https://www.wga.hu/html/c/casas_no/index.html,Galiicia,Spanish
"CASINI, Valore",(1590-1660),Baroque,painter,https://www.wga.hu/html/c/casini/index.html,Florence,Italian
"CASSANA, Giovanni Agostino",(c. 1658-1720),Baroque,painter,https://www.wga.hu/html/c/cassana/giovanni/index.html,Italy,Italian
"CASSANA, Niccolò",(1659-1714),Baroque,painter,https://www.wga.hu/html/c/cassana/niccolo/index.html,Italy,Italian
"CASSATT, Mary",(1844-1926),Impressionism,painter,https://www.wga.hu/html/c/cassatt/index.html,Paris,American
"CASSIOLI, Amos",(1832-1891),Realism,painter,https://www.wga.hu/html/c/cassioli/index.html,Florence,Italian
"CASTAGNOLI, Giuseppe",(1754-1832),Neoclassicism,painter,https://www.wga.hu/html/c/castagno/index.html,Florence,Italian
"CASTEELS, Pieter",(1684-1749),Rococo,painter,https://www.wga.hu/html/c/casteels/index.html,London,Flemish
"CASTELLANO, Manuel",(1826-1880),Romanticism,painter,https://www.wga.hu/html/c/castella/index.html,Madrid,Spanish
"CASTELLI, Bernardino",(1750-1810),Rococo,painter,https://www.wga.hu/html/c/castelli/index.html,Venice,Italian
"CASTELLO, Giovanni Battista",(1547-1637),Mannerism,illuminator,https://www.wga.hu/html/c/castello/giovanni/index.html,Genoa,Italian
"CASTELLO, Valerio",(1624-1659),Baroque,painter,https://www.wga.hu/html/c/castello/valerio/index.html,Genoa,Italian
"CASTELLÓ, Vicente",(c. 1588-c. 1636),Baroque,painter,https://www.wga.hu/html/c/castell/index.html,Valencia,Spanish
"CASTIGLIONE, Giovanni Benedetto",(1609-1664),Baroque,painter,https://www.wga.hu/html/c/castigli/index.html,Genoa,Italian
"CASTIGLIONE, Giuseppe",(1829-1908),Realism,painter,https://www.wga.hu/html/c/castiglj/index.html,Paris,Italian
"CASTILHO, João de",(c. 1490-1552),Medieval,architect,https://www.wga.hu/html/c/castilho/index.html,Portugal,Portuguese
"CASTILLO, Antonio del",(1616-1668),Baroque,painter,https://www.wga.hu/html/c/castillo/index.html,Córdoba,Spanish
"CASTILLO, Juan del",(c. 1590-c. 1657),Baroque,painter,https://www.wga.hu/html/c/castill/index.html,Seville,Spanish
"CASTRUCCI, Cosimo",(active 1576-1602),Mannerism,sculptor,https://www.wga.hu/html/c/castrucc/index.html,Prague,Italian
CATARINO,(known 1362-1382),Medieval,painter,https://www.wga.hu/html/c/catarino/index.html,Venice,Italian
"CATEL, Franz Ludwig",(1778-1856),Romanticism,painter,https://www.wga.hu/html/c/catel/index.html,Germany,German
"CATENA, Vincenzo",(c. 1480-1531),High Renaissance,painter,https://www.wga.hu/html/c/catena/index.html,Venice,Italian
"CATI DA IESI, Pasquale",(1550-1620),Mannerism,painter,https://www.wga.hu/html/c/cati/index.html,Rome,Italian
"CATLIN, George",(1796-1872),Romanticism,painter,https://www.wga.hu/html/c/catlin/index.html,United States,American
"CATS, Dirck van",(active 1607-1632),Baroque,painter,https://www.wga.hu/html/c/cat/index.html,TheHague,Dutch
"CATS, Jacob",(1741-1799),Rococo,painter,https://www.wga.hu/html/c/cats/index.html,Netherlands,Dutch
"CATTANEO, Danese",(c. 1512-1573),High Renaissance,sculptor,https://www.wga.hu/html/c/cattaneo/index.html,Venice,Italian
"CAUCHIE, Paul",(1875-1952),Art Nouveau,architect,https://www.wga.hu/html/c/cauchie/index.html,Brussels,Belgian
"CAULLERY, Louis de",(c. 1580-1621),Baroque,painter,https://www.wga.hu/html/c/caullery/index.html,Antwerp,Flemish
"CAUSICI, Enrico",(1790-1835),Neoclassicism,sculptor,https://www.wga.hu/html/c/causici/index.html,NorthAmerica,Italian
"CAVALETTO, Giovanni Battista",(active 1486-1523),High Renaissance,illuminator,https://www.wga.hu/html/c/cavalett/index.html,Bologna,Italian
"CAVALIERI, Giovanni Battista de'",(c. 1525-1601),Mannerism,graphic,https://www.wga.hu/html/c/cavalier/index.html,Rome,Italian
"CAVALLI, Gian Marco",(c. 1454-after 1508),Early Renaissance,sculptor,https://www.wga.hu/html/c/cavalli/index.html,Italy,Italian
"CAVALLINI, Pietro",(active 1273-1308),Medieval,painter,https://www.wga.hu/html/c/cavallin/index.html,Rome,Italian
"CAVALLINO, Bernardo",(1616-c. 1656),Baroque,painter,https://www.wga.hu/html/c/cavallio/index.html,Naples,Italian
"CAVALORI, Mirabello",(1535-1572),Mannerism,painter,https://www.wga.hu/html/c/cavalori/index.html,Florence,Italian
"CAVAROZZI, Bartolomeo",(c. 1590-1625),Baroque,painter,https://www.wga.hu/html/c/cavarozz/index.html,Rome,Italian
CAVAZZOLA,(c. 1486-1522),High Renaissance,painter,https://www.wga.hu/html/c/cavazzol/index.html,Verona,Italian
"CAVEDONE, Giacomo",(1577-1660),Baroque,painter,https://www.wga.hu/html/c/cavedone/index.html,Bologna,Italian
"CAVELIER, Jules",(1814-1894),Neoclassicism,sculptor,https://www.wga.hu/html/c/cavelier/index.html,Paris,French
"CAVINO, Giovanni da",(1500-1570),High Renaissance,sculptor,https://www.wga.hu/html/c/cavino/index.html,Padua,Italian
"CAVRIOLI, Francesco",(c. 1600-1670),Baroque,sculptor,https://www.wga.hu/html/c/cavrioli/index.html,Venice,Italian
"CAYLINA, Paolo the Elder",(c. 1425-after 1486),Early Renaissance,painter,https://www.wga.hu/html/c/caylina/paolo1/index.html,Brescia,Italian
"CAYLINA, Paolo the Younger",(c. 1485-c. 1545),High Renaissance,painter,https://www.wga.hu/html/c/caylina/paolo2/index.html,Brescia,Italian
"CAYOT, Claude-Augustin",(1677-1722),Baroque,sculptor,https://www.wga.hu/html/c/cayot/index.html,Paris,French
"CAZES, Pierre-Jacques",(1676-1754),Rococo,painter,https://www.wga.hu/html/c/cazes/index.html,Paris,French
"CAZIN, Jean-Charles",(1841-1901),Realism,painter,https://www.wga.hu/html/c/cazin/index.html,France,French
"CECCARELLI, Naddo",(active 1340s),Medieval,painter,https://www.wga.hu/html/c/ceccarel/index.html,Italy,Italian
CECCO BRAVO,(1601-1661),Baroque,painter,https://www.wga.hu/html/c/cecco_br/index.html,Florence,Italian
CECCO DEL CARAVAGGIO,(active 1610s),Baroque,painter,https://www.wga.hu/html/c/cecco/index.html,Rome,French
CECCO DI PIETRO,(active 1370-1399),Medieval,painter,https://www.wga.hu/html/c/cecco_p/index.html,Pisa,Italian
"CELESTI, Andrea",(1637-1712),Baroque,painter,https://www.wga.hu/html/c/celesti/index.html,Venice,Italian
"CELLIER, Jacques",(c. 1550-1620),Mannerism,graphic,https://www.wga.hu/html/c/cellier/index.html,France,French
"CELLINI, Benvenuto",(1500-1571),High Renaissance,goldsmith,https://www.wga.hu/html/c/cellini/index.html,Italy,Italian
CENNI di Francesco di Ser Cenni,(active 1369-1415),Medieval,painter,https://www.wga.hu/html/c/cenni/index.html,Florence,Italian
"CERESA, Carlo",(1609-1670),Baroque,painter,https://www.wga.hu/html/c/ceresa/index.html,Bergamo,Italian
"CEREZO, Mateo the Younger",(c. 1626-1666),Baroque,painter,https://www.wga.hu/html/c/cerezo/index.html,Madrid,Spanish
"CERNOTTO, Stefano",(active 1530-1542),Mannerism,painter,https://www.wga.hu/html/c/cernotto/index.html,Italy,Italian
"CERQUOZZI, Michelangelo",(1602-1660),Baroque,painter,https://www.wga.hu/html/c/cerquozz/index.html,Rome,Italian
"CERRINI, Giovanni Domenico",(1609-1681),Baroque,painter,https://www.wga.hu/html/c/cerrini/index.html,Italy,Italian
"CERUTI, Giacomo",(1698-1767),Baroque,painter,https://www.wga.hu/html/c/ceruti/index.html,Lombardy,Italian
"CERVELLI, Federico",(c. 1638-1700),Baroque,painter,https://www.wga.hu/html/c/cervelli/index.html,Venice,Italian
CESARE da Sesto,(1477-1523),High Renaissance,painter,https://www.wga.hu/html/c/cesare/index.html,Lombardy,Italian
"CESARI, Giuseppe",(1568-1640),Baroque,painter,https://www.wga.hu/html/c/cesari/index.html,Rome,Italian
"CEULEN, Peter Wolfgang van",(active 1520s),Northern Renaissance,sculptor,https://www.wga.hu/html/c/ceulen/index.html,Germany,German
"CHALGRIN, Jean-François-Thérese",(1739-1811),Neoclassicism,architect,https://www.wga.hu/html/c/chalgrin/index.html,Paris,French
"CHAMBERLIN, Mason the Elder",(1727-1787),Rococo,painter,https://www.wga.hu/html/c/chamberl/index.html,England,English
"CHAMBERS, William",(1723-1796),Rococo,architect,https://www.wga.hu/html/c/chambers/index.html,London,English
"CHAMPAIGNE, Jean-Baptiste de",(1631-1681),Baroque,painter,https://www.wga.hu/html/c/champaig/jeanbapt/index.html,Paris,French
"CHAMPAIGNE, Philippe de",(1602-1674),Baroque,painter,https://www.wga.hu/html/c/champaig/philippe/index.html,France,French
"CHANDLER, John Westbrooke",(1764-c. 1804),Rococo,painter,https://www.wga.hu/html/c/chandler/index.html,Scotland,Scottish
"CHANGENET, Jean",(active 1486-1493),Northern Renaissance,painter,https://www.wga.hu/html/c/changene/index.html,Provence,French
"CHANTREY, Sir Francis Legatt",(1781-1841),Neoclassicism,sculptor,https://www.wga.hu/html/c/chantrey/index.html,England,English
"CHAPU, Henri",(1833-1891),Realism,sculptor,https://www.wga.hu/html/c/chapu/index.html,Paris,French
"CHARDIN, Jean-Baptiste-Siméon",(1699-1779),Baroque,painter,https://www.wga.hu/html/c/chardin/index.html,France,French
"CHARLES, James",(1851- 1906),Realism,painter,https://www.wga.hu/html/c/charles/index.html,England,English
"CHARLET, Nicolas-Toussaint",(1792-1845),Romanticism,painter,https://www.wga.hu/html/c/charlet/index.html,Paris,French
"CHARONTON, Enguerrand",(c. 1410-c. 1466),Northern Renaissance,painter,https://www.wga.hu/html/c/charonto/index.html,Avignon,French
"CHARPENTIER, Alexandre-Louis-Marie",(1856-1909),Realism,sculptor,https://www.wga.hu/html/c/charpen/index.html,Paris,French
"CHARPENTIER, Constance",(1767-1849),Romanticism,painter,https://www.wga.hu/html/c/charpent/index.html,France,French
"CHARPENTIER, Félix-Maurice",(1858-1924),Realism,sculptor,https://www.wga.hu/html/c/charpenf/index.html,Paris,French
"CHARPENTIER, Jean-Baptiste the Elder",(1728-1806),Rococo,painter,https://www.wga.hu/html/c/charpenj/index.html,Paris,French
"CHASE, William Merritt",(1849-1916),Impressionism,painter,https://www.wga.hu/html/c/chase/index.html,NewYork,American
"CHASSÉRIAU, Théodore",(1819-1856),Romanticism,painter,https://www.wga.hu/html/c/chasseri/index.html,France,French
"CHASTILLON, Claude",(c. 1560-1616),Baroque,graphic,https://www.wga.hu/html/c/chastill/index.html,France,French
"CHATROUSSE, Émile",(1829-1896),Realism,sculptor,https://www.wga.hu/html/c/chatrous/index.html,Paris,French
"CHAUDET, Antoine-Denis",(1763-1810),Neoclassicism,sculptor,https://www.wga.hu/html/c/chaudet/index.html,France,French
"CHAUVEAU, François",(1613-1676),Baroque,graphic,https://www.wga.hu/html/c/chauveau/index.html,Paris,French
"CHAUVIN, Pierre-Athanase",(1774-1832),Romanticism,painter,https://www.wga.hu/html/c/chauvin/index.html,Paris,French
"CHEERE, John",(1709-1787),Rococo,sculptor,https://www.wga.hu/html/c/cheere/john/index.html,London,English
"CHEERE, Sir Henry",(1703-1781),Rococo,sculptor,https://www.wga.hu/html/c/cheere/henry/index.html,London,English
"CHEMIN, Joseph Victor",(1825-1901),Realism,sculptor,https://www.wga.hu/html/c/chemin/index.html,Paris,French
"CHERNETSOV, Grigory Grigorievich",(1802-1865),Realism,painter,https://www.wga.hu/html/c/chernets/index.html,St.Petersburg,Russian
"CHERPITEL, Mathurin",(1736-1809),Neoclassicism,architect,https://www.wga.hu/html/c/cherpite/index.html,Paris,French
"CHIARI, Alessandro",(active 1834-1848),Romanticism,graphic,https://www.wga.hu/html/c/chiari_a/index.html,Italy,Italian
"CHIARI, Giuseppe Bartolomeo",(1654-1727),Baroque,painter,https://www.wga.hu/html/c/chiari/index.html,Rome,Italian
"CHILONE, Vincenzo",(1758-1839),Neoclassicism,painter,https://www.wga.hu/html/c/chilone/index.html,Venice,Italian
"CHINARD, Joseph",(1756-1813),Neoclassicism,sculptor,https://www.wga.hu/html/c/chinard/index.html,France,French
"CHINI, Galileo",(1873-1956),Art Nouveau,painter,https://www.wga.hu/html/c/chini/index.html,Italy,Italian
"CHIPPENDALE, Thomas",(1718-1779),Rococo,cabinet-maker,https://www.wga.hu/html/c/chippend/index.html,London,English
"CHODOWIECKI, Daniel Nikolaus",(1726-1801),Rococo,painter,https://www.wga.hu/html/c/chodowie/index.html,Berlin,Polish
"CHRISTIAN, Johann Josef",(1706-1777),Rococo,sculptor,https://www.wga.hu/html/c/christia/index.html,Germany,German
"CHRISTIANSEN, Hans",(1866-1945),Art Nouveau,painter,https://www.wga.hu/html/c/christin/index.html,Darmstadt,German
"CHRISTUS, Petrus",(1410/20-1475/76),Northern Renaissance,painter,https://www.wga.hu/html/c/christus/index.html,Bruges,Flemish
"CHURCH, Frederic Edwin",(1826-1900),Romanticism,painter,https://www.wga.hu/html/c/church/index.html,United States,American
"CHURRIGUERA, Alberto",(1676-1750),Rococo,architect,https://www.wga.hu/html/c/churrigu/alberto/index.html,Salamanca,Spanish
"CHURRIGUERA, José Benito",(1665-1725),Baroque,architect,https://www.wga.hu/html/c/churrigu/jose/index.html,Spain,Spanish
"CHÂTELET, Claude-Louis",(1753-1794),Rococo,painter,https://www.wga.hu/html/c/chatelet/index.html,Paris,French
"CHÉRET, Jules",(1836- 1932),Art Nouveau,graphic,https://www.wga.hu/html/c/cheret/index.html,Paris,French
"CIAMPANTI, Michele",(active 1470-1510),Early Renaissance,painter,https://www.wga.hu/html/c/ciampant/index.html,Lucca,Italian
"CIAMPELLI, Agostino",(1565-1630),Baroque,painter,https://www.wga.hu/html/c/ciampell/index.html,Rome,Italian
"CIARDI, Guglielmo",(1842-1917),Realism,painter,https://www.wga.hu/html/c/ciardi/index.html,Venice,Italian
"CIGNANI, Carlo",(1628-1719),Baroque,painter,https://www.wga.hu/html/c/cignani/index.html,Bologna,Italian
"CIGNAROLI, Giambettino",(1706-1770),Baroque,painter,https://www.wga.hu/html/c/cignarol/giambett/index.html,Verona,Italian
"CIGNAROLI, Scipione",(1690-1753),Baroque,painter,https://www.wga.hu/html/c/cignarol/scipione/index.html,Italy,Italian
CIGOLI,(1559-1613),Mannerism,painter,https://www.wga.hu/html/c/cigoli/index.html,Florence,Italian
