ARTIST,BIRTH DATA,PROFESSION,SCHOOL,URL
"ALBEREGNO, Jacobello",(died before1397 in Venice),painter,Italian,https://www.wga.hu/bio/a/alberegn/biograph.html
"ALBERTI, Antonio","(b. ca. 1390, Ferrara, d. ca. 1442, Urbino)",painter,Italian,https://www.wga.hu/bio/a/albert/biograph.html
"ALBERTI, Cherubino","(b. 1553, Borgo San Sepolcro, d. 1615, Roma)",painter,Italian,https://www.wga.hu/bio/a/alberti1/cherubin/biograph.html
"ALBERTI, Giovanni","(b. 1558, Borgo San Sepolcro, d. 1601, Roma)",painter,Italian,https://www.wga.hu/bio/a/alberti1/giovanni/biograph.html
"ALBERTI, Leon Battista","(b. 1404, Genova, d. 1472, Roma)",architect,Italian,https://www.wga.hu/bio/a/alberti/biograph.html
"ALBERTINELLI, Mariotto","(b. 1474, Firenze, d. 1515, Firenze)",painter,Italian,https://www.wga.hu/bio/a/albertin/biograph.html
"ALBERTOLLI, Giocondo","(b. 1743, Bedano, d. 1839, Milano)",sculptor,Italian,https://www.wga.hu/bio/a/albertol/biograph.html
"ALBOTTO, Francesco","(b. 1721, Venezia, d. 1757, Venezia)",painter,Italian,https://www.wga.hu/bio/a/albotto/biograph.html
"ALCIBAR, José de","(b. 1725/30, Mexico, d. 1803, Mexico)",painter,Other,https://www.wga.hu/bio/a/alcibar/biograph.html
"ALDROVANDI, Ulisse","(b. 1522, Bologna, d. 1605, Bologna)",graphic artist,Italian,https://www.wga.hu/bio/a/aldrovan/biograph.html
"ALEANDRI, Ireneo","(b. 1795, San Severino Marche, d. 1885, Macerata)",architect,Italian,https://www.wga.hu/bio/a/aleandri/biograph.html
"ALEKSANDROVIĆ, Ljubomir","(b. 1828, Srpski Sv. Marton, d. 1887)",painter,Other,https://www.wga.hu/bio/a/aleksand/biograph.html
"ALEKSEYEV, Fyodor Yakovlevich","(b. ca. 1753, St. Petersburg, d. 1824, St. Petersburg)",painter,Russian,https://www.wga.hu/bio/a/alekseye/biograph.html
"ALENZA Y NIETO, Leonardo","(b. 1807, Madrid, d. 1845, Madrid)",painter,Spanish,https://www.wga.hu/bio/a/alenza/biograph.html
"ALESSI, Galeazzo","(b. 1512, Perugia, d. 1572, Perugia)",architect,Italian,https://www.wga.hu/bio/a/alessi/biograph.html
ALESSO DI BENOZZO,"(b. 1473, Firenze, d. 1528, Firenze)",painter,Italian,https://www.wga.hu/bio/a/alesso/biograph.html
ALEVIZ NOVY,(active 1499-1531 in Russia),architect,Italian,https://www.wga.hu/bio/a/aleviz/biograph.html
"ALGARDI, Alessandro","(b. 1598, Bologna, d. 1654, Roma)",sculptor,Italian,https://www.wga.hu/bio/a/algardi/biograph.html
"ALINCBROT, Louis","(b. 1400/10, Bruges, d. 1460, Valencia)",painter,Flemish,https://www.wga.hu/bio/a/alincbro/biograph.html
"ALLAR, André-Joseph","(b. 1845, Toulon, d. 1926, Toulon)",sculptor,French,https://www.wga.hu/bio/a/allar/biograph.html
"ALLEGRAIN, Christophe-Gabriel","(b. 1710, Paris, d. 1795, Paris)",sculptor,French,https://www.wga.hu/bio/a/allegrai/christop/biograph.html
"ALLEGRAIN, Etienne","(b. 1644, Paris, d. 1736, Paris)",painter,French,https://www.wga.hu/bio/a/allegrai/etienne/biograph.html
"ALLIO, Domenico I","(b. ca. 1510, Scaria, Lombardy, d. 1563, Graz)",architect,German,https://www.wga.hu/bio/a/allio/biograph.html
"ALLORI, Alessandro","(b. 1535, Firenze, d. 1607, Firenze)",painter,Italian,https://www.wga.hu/bio/a/allori/alessand/biograph.html
"ALLORI, Cristofano","(b. 1577, Firenze, d. 1621, Firenze)",painter,Italian,https://www.wga.hu/bio/a/allori/cristofa/biograph.html
"ALLSTON, Washington","(b. 1779, Waccamaw, d. 1843, Cambridgeport)",painter,American,https://www.wga.hu/bio/a/allston/biograph.html
"ALMA-TADEMA, Lawrence","(b. 1836, Dronrijp, d. 1912, Wiesbaden)",painter,English,https://www.wga.hu/bio/a/almatade/biograph.html
"ALMONACID, Sebastián de","(b. ca. 1460, Torrijos, d. 1526, ?)",sculptor,Spanish,https://www.wga.hu/bio/a/almonaci/biograph.html
